1 | C
2 | E
3 | E
4 | B
5 | D
6 | D
7 | A
8 | B
9 | D
10 | C
11 | A
12 | B
13 | B
14 | E
15 | E
16 | C
17 | D
18 | D
19 | A
20 | B
21 | D
22 | E
23 | A
24 | C
25 | D
26 | E
27 | B
28 | D
29 | A
30 | E
31 | E
32 | E
33 | E
34 | B
35 | A
36 | A
37 | A
38 | C
39 | A
40 | A
41 | A
42 | A
43 | B
44 | E
45 | C
46 | A
47 | A
48 | C
49 | D
50 | A
51 | A
52 | E
53 | E
54 | A
55 | D
56 | B
57 | C
58 | D
59 | C
60 | D
61 | D
62 | B
63 | D
64 | D
65 | D
66 | C
67 | E
68 | A
69 | B
70 | B
71 | A
72 | B
73 | B
74 | A
75 | C
76 | D
77 | C
78 | E
79 | D
80 | C
81 | E
82 | C
83 | A
84 | E
85 | C
86 | D
87 | D
88 | E
89 | A
90 | A
91 | A
92 | B
93 | A
94 | A
95 | C
96 | D
97 | A
98 | E
99 | E
100 | B
101 | C
102 | B
103 | C
104 | C
105 | C
106 | A
107 | D
108 | E
109 | C
110 | B
111 | D
112 | A
113 | C
114 | A
115 | E
116 | E
117 | E
118 | C
119 | A
120 | C
121 | C
122 | C
123 | C
124 | A
125 | A
126 | A
127 | B
128 | C
129 | E
130 | B
131 | B
132 | D
133 | C
134 | A
135 | A
136 | C
137 | A
138 | E
139 | C
140 | E
141 | C
142 | C
143 | E
144 | B
145 | E
146 | E
147 | C
148 | E
149 | E
150 | D
151 | D
152 | E
153 | C
154 | E
155 | A
156 | E
157 | C
158 | D
159 | A
160 | E
161 | E
162 | C
163 | A
164 | B
165 | D
166 | A
167 | D
168 | C
169 | C
170 | A
171 | D
172 | C
173 | C
174 | B
175 | A
176 | A
177 | E
178 | E
179 | D
180 | E
181 | A
182 | A
183 | D
184 | A
185 | A
186 | A
187 | C
188 | A
189 | A
190 | A
191 | A
192 | B
193 | C
194 | C
195 | C
196 | E
197 | B
198 | C
199 | C
200 | C
201 | D
202 | A
203 | C
204 | D
205 | E
206 | E
207 | C
208 | A
209 | C
210 | E
211 | C
212 | C
213 | E
214 | X (Düzgün cavab yoxdur)
215 | A
216 | A
217 | B
218 | E
219 | B
220 | B
221 | A
222 | E
223 | B
224 | A
225 | C
226 | D
227 | E
228 | B
229 | B
230 | B
231 | B
232 | C
233 | A
234 | C
235 | C
236 | D
237 | C
238 | C
239 | A
240 | B
241 | C
242 | C
243 | C
244 | A
245 | D
246 | C
247 | B
248 | C
249 | D
250 | E
251 | E
252 | D
253 | C
254 | E
255 | E
256 | C
257 | C
258 | C
259 | E
260 | D
261 | B
262 | D
263 | A
264 | C
265 | C
266 | C
267 | B
268 | A
269 | C
270 | B
271 | E
272 | E
273 | D
274 | A
275 | A
276 | C
277 | D
278 | E
279 | C
280 | A
281 | A
282 | A
283 | A
284 | A
285 | D
286 | D
287 | D
288 | B
289 | A
290 | E
291 | A
292 | A
293 | A
294 | A
295 | C
296 | A
297 | B
298 | A
299 | C
300 | A
